model,direction_type,n,median_single_target_vKv,median_horizon_vKv,median_immediate_fd2,median_future_sum_fd2,median_horizon_sum_fd2,median_future_to_immediate_ratio
LLaMA-2-7B,single_target_top,96,0.3438904285430908,0.0478169489651918,0.1921916732926398,0.0034169274858741,0.20614486045283945,0.03503595319880495
LLaMA-2-7B,horizon_top,96,0.06977271661162371,0.0807801261544227,0.04619996293338405,0.1951272590186102,0.38674730069605884,8.667633487046562
LLaMA-2-7B,single_target_projected_null,192,7.240165871280624e-07,6.270528842833301e-07,0.00020539920337115,0.0005157766103875,0.0007603031491881999,3.6825794112359915
LLaMA-2-7B,horizon_projected_null,192,7.82134719656824e-07,5.707525758680276e-07,0.00022007426378125,0.0005680609925450999,0.00076967782589135,3.5399898211740517
LLaMA-2-7B,random,192,1.0558861731624347e-06,7.231613494695921e-07,0.00020374734616610002,0.0005523127278323501,0.000796372107974,3.003542315398714
Mistral-7B,single_target_top,96,4.774795293807983,0.868388295173645,3.033789073602758,0.4768447149336644,4.683404015729645,0.13052689471840245
Mistral-7B,horizon_top,96,0.8814271092414856,1.5081294178962708,0.5459179343828544,7.340215153539455,8.298608550035368,11.883271045801958
Mistral-7B,single_target_projected_null,192,1.717797704259283e-05,1.9711617824214045e-05,0.0014690472402473002,0.0131875361012159,0.0151178699462921,7.953330460199938
Mistral-7B,horizon_projected_null,192,2.080090325762285e-05,1.9954734852944966e-05,0.0014306500514986,0.01259248266254055,0.01440550536722415,8.355035179920568
Mistral-7B,random,192,2.5175929295073732e-05,1.9641116523416713e-05,0.0013434863569553,0.0133158129158358,0.01544553437377485,7.912070619035108
